fawn,0.0,fawn,0.0,young,0.0,fawn,0.378787878788
kitten,2.14132762313,kitten,2.29445506692,peacock,0.854700854701,llama,2.27272727273
llama,0.0,llama,0.956022944551,coyness,0.0,smack,0.0
coyness,0.0,coyness,0.19120458891,pheasant,2.13675213675,me,0.378787878788
smack,0.0,smack,0.19120458891,scottie,0.0,fat,0.0
me,0.0,fat,0.0,bull,2.5641025641,dragonfly,0.378787878788
kitty,0.428265524625,lore,0.19120458891,smack,0.0,ti,0.0
song,0.0,ti,0.19120458891,me,0.0,microbe,0.0
woman,0.0,gi,0.0,larus,0.0,gi,0.0
dragonfly,0.0,milk,0.38240917782,fat,0.42735042735,milk,0.0
must,0.0,coon,2.48565965583,go,0.0,young,0.378787878788
lore,0.0,crocodile,1.9120458891,song,0.0,coon,3.78787878788
ti,0.0,larus,0.0,dragonfly,0.42735042735,larus,0.378787878788
microbe,0.0,peacock,0.38240917782,lore,0.0,sleek,0.0
young,0.0,sleek,0.19120458891,microbe,0.0,foul,0.0
gi,0.0,foul,0.19120458891,fawn,0.42735042735,peacock,0.378787878788
milk,0.0,gu,0.19120458891,swan,2.5641025641,gu,0.0
go,0.0,pheasant,0.19120458891,crocodile,4.2735042735,bull,3.40909090909
crocodile,0.428265524625,go,0.19120458891,woman,0.42735042735,pheasant,1.13636363636
sleek,0.0,bull,2.86806883365,milk,0.0,scottie,0.0
foul,0.0,swan,0.19120458891,foul,0.0,swan,2.27272727273
bull,1.7130620985,me,0.0,ti,0.0,crocodile,1.51515151515
scottie,0.0,song,0.19120458891,coon,2.99145299145,song,0.0
gu,0.0,woman,0.0,must,0.42735042735,woman,1.13636363636
peacock,0.0,must,0.0,gi,0.42735042735,must,0.0
swan,0.214132762313,kitty,0.38240917782,llama,7.26495726496,go,0.0
coon,1.07066381156,scottie,0.19120458891,kitty,0.0,coyness,0.0
larus,0.0,dragonfly,0.0,gu,0.0,lore,0.0
fat,0.0,microbe,0.19120458891,kitten,2.5641025641,kitten,2.27272727273
pheasant,0.0,young,0.0,sleek,0.0,kitty,0.0
